index,Song_name,type,artist,lyrics
1, नीले नीले अम्बर पर,romantic,किशोर कुमार,नीले नीले अम्बर चाँद प्यार बरस तरस नीले नीले अम्बर चाँद प्यार बरस तरस साथी प्रेमी प्यास दिल बुझा ऊँचे ऊँचे पर्बत चुम अम्बर प्यासा-प्यासा अम्बर चूम सागर प्यार कस बाह बस दिल ललचाये साथी प्रेमी प्यास दिल बुझा ठन्डे-ठन्डे झोंके बाल सहल तपती-तप किरण गल साँस गर्मी हांथ नरमी मन तरस साथी प्रेमी प्यास दिल बुझा छम छम सावन बूंद बाण चल सतरंगी बरसात तनमन भीगा प्यार नह डूब दिल तडपाये ख़्वाब जगा साथी प्रेमी प्यास दिल बुझा नीले नीले अम्बर चाँद प्यार बरस तरस 
2,अक्कड़ बक्कड़,party,बादशाह,अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ कुड़ी लोनली नाचे हौली हौली पिके पेग डोली कुड गैंग मुंड टोली काफी बट स्लो्ली स्लो्ली नाच नाच थक दारु पीके अक् निन् साथ सो अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ ना सोचेयो आंटी बट जुबांन चल केंची क्लब पार्टी फालतू फिर सेंटी चल टॉप रास् नाप मीटर हिल कान दूँगी अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ अक्कड़ बक्कड़ बॉम्बे बो पुरे रात बज पौ 
3,अखियाँ,sad,पोपोन,थक गेया अँख जग्ग दिय अख माह ना लभद अँखियाँहाये प्यार दिय क़सम खा छड़ इश्क़ भुला दस्स क़ुसूर अख कह अख बह दर्द सताव तेनू ना दिल रह ग़ल्ल कन्नु समझावे प्यार किन् तड़पावे ना आवे माही अख रो ल इंतेज़ार दिल फ़क़ीरा प्यार भुला ना मिट जाव ना हार माही बि दिल डूबदा माही बि एंनु चीन ना आवे विख सोह यार अँख कह अख बह दर्द सतावे तेनू ना दिल रह ग़ल्ल कन्नु समझावे प्यार किन् तड़पावे ना आवे माही अख रो थक गिया अँख जग दिय अँख माहिया ना लभद अँख 
4,अंग से अंग लगाना,romantic,"अलका याग्निक, बिनोद राठौड़, सुदेश भोसले",आए आए चाहो बाँहो भर अंग अंग लग सजन रंग लग अंग अंग लग सजन रंग लग गाल गाल नैन नैन होली मन सजन रंग लग अंग अंग लग सजन रंग लग अंग अंग लग सजन रंग लग रंग लगय्यो ना करिओ मोसे ना बोल खड़ी चुप अँख मीचे बच पड़ोसन ना पाए वापस ना पाए जुलमी बाजू मरोड़ा कजरा ना गजरा ना छोड़ा रपट लिखा रपट लिखा था भर जुर्म अंग अंग लग सजन रंग लग अंग अंग लग सजन रंग लग रंग बरसे भीगे चुनरवाली रंग बरसे रंग बरसे भीगे चुनरवाली रंग बरसे रंग बरसे भीगे चुनरवाली रंग बरसे अंग अंग अंग अंग लग सजन रंग लग अंग अंग लग सजन रंग लग भीगे भीगे तन शोले लपक रस् देख मुसाफिर नैन भटक भूला रास् रस् थाम लूं बैय्य छेड़ो सैय्य दिल तोड़ो आँचल छोड़ो काहे रूठी चूड़ी टूटी दिल टूटा चल हट झूठा नाच गाऊं बैठ मुश्किल दीव अंग रंग नीला पीला नीला पीला लाल गुलाबी तु बोल भाभी चुटकी भर सिन्दूर मंग मांग सज अंग अंग लग सजन रंग लग अंग अंग लग सजन रंग लग अंग अंग लग सजन रंग लग 
5,अगर ज़िन्दगी हो,romantic,आशा भोसले,ज़िन्दगी संग ज़िन्दगी संग मौत मौत ज़िन्दगी संग ज़िन्दगी संग मौत मौत बलमा बलमा बलमा बलमा दिल कही ना बि दिल कही ना बि मुश्किल जी बि मिलके वादा करले दम दम साथ नह छोड़ चाहे खुश गम बलमा बलमा बलमा बलमा ज़िन्दगी संग ज़िन्दगी संग मिली सांसे मिली सांसे ख्वाब सजाये आँख ना रूठे वाद मौसम हिन्दीट्रैक्स याद महके याद मौसम बलमा बलमा बलमा बलमा ज़िन्दगी संग ज़िन्दगी संग दुन आलम दुन आलम प्यार दिल बालम प्यासे दिल ना दूजा रंग चढ़े ना लम्हा चाहत बढ़े बलमा बलमा बलमा बलमा ज़िन्दगी संग ज़िन्दगी संग मौत मौत बलमा बलमा बलमा बलमा 
6,अगर तुम न होते,sad,किशोर कुमार,चाहत चाहत चाहत सहारा मिल भंवर रह किनारा मिल सहारा मिल भंवर रह किनारा मिल किनारे लहर डुबो चाहत बताऊं ज़िंदगी आसरा बताऊं ज़िंदगी आसरा आशा लड़ रह-रह पिरो चाहत ग़म सह खुशी शिकवा ग़म सह खुशी शिकवा हंस खुशी रो चाहत 
7,अगर तुम मिल जाओ,romantic,श्रेया घोषाल,मिल ज़म छोड़ मिल ज़म छोड़ मिल ज़म छोड़ पा ज़म भर रिश् तोड़ मिल ज़म छोड़ मिल ज़म छोड़ बि दिलकश नज़ारा देख बि दिलकश नज़ारा देख पसंद उसको दोबारा देख सूरत सूरत शीशा तोड़ मिल ज़म छोड़ दिल रह दिल रह ख़्वाब बहेनो सजा कसम कसम कसम कसम तक़दीर रोग मोड़ मिल ज़म छोड़ जिस्म-ो-जान बसा जिस्म-ो-जान बसा खुशबू जिस्म खुश्बू खुदा टूटे खुदा टूटे रिश् जोड़ मिल ज़म छोड़ पा ज़म भर रिश् तोड़ मिल ज़म छोड़ मिल ज़म छोड़ 
8,अगर तुम साथ हो,sad,अरिजीत सिंह,पल भर ठहर दिल संभल रोका आता ग़म फिसल आँख भरूं बिन बोले बात गर साथ साथ होतेरी नज़र सप सपन नाराज़ी बात दिल लफ़्ज़ धोखेबाज़ी साथ ना फर्क बेदर्द ज़िन्दगी बेदर्द गर साथ साथ पलक झपक दिन बैठी बैठी भागी फिरूँ आता ग़म फिसल आँख एमीन भरूं बिन बोले बात गर साथ साथ नज़र सप सपन नाराज़ी बात दिल लफ़्ज़ धोखेबाज़ी साथ ना फर्क बेदर्द ज़िन्दगी बेदर्द साथ दिल संभल साथ ग़म फिसल साथ दिल साथ ग़म फिसल 
9,अजनबी मुझको इतना बता,romantic,आशा भोसले,अजनबी दिल परेशान देख बरस पहचान कित भोली कित नादान दिल बात अंजान अजनबी दिल परेशान देख बरस पहचान कित भोली कित नादान दिल बात अंजान अजनबी दिल परेशान सोच चाह मुश्किल बत मै सु मुश्किल दबी चाहत छुप सोच चाह मुश्किल बत मै सु मुश्किल दबी चाहत छुप राज़ खोल देगी लभ मुस्कान अजनबी दिल परेशान बताऊँ धडकन बन किस दीव बेग कह बेग बताऊँ धडकन बन किस दीव बेग कह बेग प्यार घडी मुश्किल लड़ी ना समझो आसान अजनबी दिल परेशान देख बरस पहचान कित भोली कित नादान दिल बात अंजान अजनबी 
10,अदायें भी हैं,romantic,"अनुराधा पौडवाल, कुमार सानू",मुलाकात बह मुलाकात बह प्यार सिलसिला पुर मुलाकात बह धड़कन धड़कन खो जाएँ धड़कन धड़कन खो जाएँ दिल दिल करीब दिल दिल करीब प्यार सिलसिला पुर मुलाकात बह सनम बाह सनम बाह कदम तले ज़म कदम तले ज़म प्यार सिलसिला पुर मुलाकात बह ख़्वाब काँच नाज़ुक ख़्वाब काँच नाज़ुक टूट बच टूट बच प्यार सिलसिला पुर मुलाकात बह मन प्यार शिवाला मन प्यार शिवाला आपको देव बन आपको देव बन प्यार सिलसिला पुर मुलाकात बह 
